lat,long
51.514324,0.070565
51.513469,0.070694
51.512401,0.070995
51.511119,0.070909
51.509169,0.070694
51.507914,0.070608
51.506578,0.071209
51.505269,0.071338
51.504136,0.071037
51.502801,0.070308
51.502293,0.070222
51.501759,0.070651
51.501438,0.070737
51.501144,0.069836
51.500824,0.068849
51.500156,0.066188
51.500076,0.064386
51.500049,0.063441
51.49906,0.063441
51.498793,0.062969
51.498873,0.062283
51.49898,0.061811
51.498873,0.061038
51.498526,0.060094
51.498045,0.059837
51.497805,0.062283
51.497484,0.063227
51.496656,0.063999
51.496015,0.064257
51.4954,0.063914
51.49524,0.063055
51.495186,0.061424
51.494572,0.061167
51.494171,0.061167
51.493922,0.060909
51.493681,0.060909
51.493387,0.06121
51.492693,0.061038
51.491303,0.061811
51.489914,0.06224
51.488925,0.062669
51.48815,0.063012
51.487081,0.063399
51.486173,0.063055
51.484142,0.06224
51.483527,0.062111
51.482538,0.062025
51.482164,0.061768
51.479411,0.059794
51.477433,0.057734
51.476043,0.056918
51.474787,0.056532
51.473932,0.055845
51.472328,0.055159
51.470884,0.054901
51.469868,0.054687
51.46912,0.054172
51.467944,0.053228
51.466206,0.052155
51.464815,0.051339
51.463345,0.05061
51.461821,0.04988
51.460858,0.049451
51.460538,0.049022
51.460431,0.048378
51.46035,0.047992
51.459976,0.047863
51.459575,0.047348
51.458666,0.045546
51.457516,0.043057
51.455783,0.040302
51.45466,0.038542
51.453457,0.036697
51.452973,0.035254
51.452438,0.035254
51.451769,0.033838
51.450726,0.031091
51.450165,0.028902
51.449175,0.025555
51.448212,0.022625
51.447196,0.018076
51.44642,0.014943
51.445912,0.013012
51.445721,0.009701
51.445587,0.00571
51.44532,0.004594
51.445132,0.000096
51.445132,-0.004023
51.445132,-0.009645
51.445346,-0.012735
51.445614,-0.015053
51.446122,-0.01913
51.445641,-0.01973
51.445106,-0.020245
51.444865,-0.021147
51.444276,-0.024709
51.443982,-0.02591
51.44318,-0.027112
51.443046,-0.029215
51.442591,-0.030288
51.441896,-0.032777
51.442324,-0.035008
51.442297,-0.036437
51.442083,-0.03824
51.442083,-0.040729
51.44227,-0.042918
51.442351,-0.047123
51.441263,-0.047438
51.439979,-0.051386
51.4403,-0.05336
51.440006,-0.053832
51.439123,-0.053703
51.439016,-0.0543
51.439925,-0.056746
51.440541,-0.058291
51.440514,-0.061724
51.441022,-0.0646
51.442279,-0.066102
51.443296,-0.067904
51.443162,-0.069535
51.44343,-0.071595
51.443617,-0.073279
51.442921,-0.075983
51.442386,-0.079244
51.442119,-0.08212
51.441958,-0.084266
51.440894,-0.088527
51.441162,-0.091274
51.441008,-0.091882
51.440413,-0.095951
51.439771,-0.097496
51.439361,-0.099734
51.439575,-0.100893
51.440083,-0.10261
51.440565,-0.103811
51.440993,-0.106
51.440377,-0.106129
51.440217,-0.106369
51.440297,-0.107098
51.440591,-0.110317
51.441421,-0.113664
51.443083,-0.116631
51.444019,-0.119979
51.444928,-0.123798
51.445784,-0.125944
51.447389,-0.129977
51.44779,-0.132166
51.447843,-0.13341
51.448057,-0.133625
51.448458,-0.133668
51.449502,-0.136629
51.450408,-0.14037
51.451103,-0.142087
51.451825,-0.142258
51.452307,-0.142387
51.452574,-0.142516
51.453189,-0.143803
51.454152,-0.146378
51.454045,-0.147451
51.454446,-0.148567
51.456872,-0.153919
51.457433,-0.154605
51.459091,-0.15615
51.46,-0.156751
51.459837,-0.160922
51.460158,-0.161566
51.461067,-0.161909
51.460555,-0.169133
51.458416,-0.175657
51.458416,-0.181493
51.462053,-0.184926
51.461839,-0.188703
51.460983,-0.190763
51.459486,-0.190763
51.459058,-0.192479
51.458416,-0.198316
51.457133,-0.198316
51.456491,-0.203724
51.457561,-0.20647
