MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3)
2016-04-09 09:00:00,74.2,79.0,192.7,25.3,19.3
2016-04-09 10:00:00,46.4,68.7,139.9,32.3,34.6
2016-04-09 11:00:00,36.4,53.7,109.6,39.8,29.2
2016-04-09 12:00:00,40.5,53.4,115.5,42.7,22.6
2016-04-09 13:00:00,37.5,63.7,121.2,36.8,22.9
2016-04-09 14:00:00,24.9,54.7,92.9,42.7,21.4
2016-04-09 15:00:00,20.1,46.3,77.1,50.2,14.7
2016-04-09 16:00:00,32.7,60.8,111.0,43.2,12.7
2016-04-09 17:00:00,28.2,63.6,106.9,44.7,10.5
2016-04-09 18:00:00,64.2,84.2,182.7,23.8,16.8
2016-04-09 19:00:00,67.5,101.2,204.7,18.8,15.5
2016-04-09 20:00:00,77.9,106.3,225.7,16.3,16.0
2016-04-09 21:00:00,52.7,88.9,169.7,19.8,16.3
2016-04-09 22:00:00,35.3,82.0,136.1,21.8,14.2
2016-04-09 23:00:00,59.8,99.9,191.5,14.8,15.7
2016-04-10 00:00:00,37.3,76.6,133.7,21.8,14.7
2016-04-10 01:00:00,52.6,84.3,164.9,18.5,16.5
2016-04-10 02:00:00,59.4,99.8,190.9,11.3,18.6
2016-04-10 03:00:00,33.1,81.8,132.4,10.3,17.4
2016-04-10 04:00:00,23.0,68.7,104.0,17.3,11.6
2016-04-10 05:00:00,33.1,78.7,129.3,7.3,14.6
2016-04-10 06:00:00,35.3,72.0,126.1,15.8,14.6
2016-04-10 07:00:00,32.7,60.7,110.8,34.7,15.1
2016-04-10 08:00:00,11.9,33.8,52.1,60.1,12.1
2016-04-10 09:00:00,11.9,32.0,50.2,65.6,9.1
2016-04-10 10:00:00,10.8,29.4,46.0,68.0,11.0
2016-04-10 11:00:00,15.6,36.0,59.9,69.5,10.7
2016-04-10 12:00:00,11.5,27.0,44.7,73.0,14.7
2016-04-10 13:00:00,14.8,34.1,56.8,68.5,17.5
2016-04-10 14:00:00,11.9,34.5,52.7,72.5,17.6
2016-04-10 15:00:00,8.5,28.6,41.7,76.0,19.1
2016-04-10 16:00:00,10.0,36.2,51.5,69.0,18.9
2016-04-10 17:00:00,10.8,35.6,52.1,69.0,18.6
2016-04-10 18:00:00,6.7,43.3,53.5,66.5,24.5
2016-04-10 19:00:00,8.1,42.2,54.7,62.0,23.3
2016-04-10 20:00:00,8.9,41.0,54.6,57.1,24.9
2016-04-10 21:00:00,10.7,42.4,58.8,49.1,23.2
2016-04-10 22:00:00,10.7,46.1,62.5,40.6,26.1
2016-04-10 23:00:00,13.7,49.4,70.4,35.1,28.8
2016-04-11 00:00:00,9.5,42.3,56.8,35.6,30.6
2016-04-11 01:00:00,5.5,31.3,39.8,39.0,31.2
2016-04-11 02:00:00,10.7,35.6,52.0,32.2,33.0
2016-04-11 03:00:00,11.5,38.7,56.3,26.2,38.4
2016-04-11 04:00:00,14.4,41.6,63.5,23.7,39.3
2016-04-11 05:00:00,35.3,62.6,116.6,14.7,42.5
2016-04-11 06:00:00,57.6,71.2,157.3,10.8,40.2
2016-04-11 07:00:00,51.6,66.2,145.3,20.2,40.8
2016-04-11 08:00:00,48.6,49.3,123.9,26.7,38.6
2016-04-11 09:00:00,52.7,,132.3,28.7,38.7
