MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-09-11 21:00:00,31.6,62.2,110.7,20.2,13.7
2016-09-11 22:00:00,31.1,60.9,108.6,17.1,12.1
2016-09-11 23:00:00,23.5,54.1,90.1,18.4,13.8
2016-09-12 00:00:00,22.3,41.7,75.9,13.2,8.0
2016-09-12 01:00:00,18.6,40.6,69.2,17.5,13.6
2016-09-12 02:00:00,3.0,27.4,32.1,16.3,11.4
2016-09-12 03:00:00,11.2,34.0,51.2,20.7,16.2
2016-09-12 04:00:00,47.2,42.1,114.4,20.5,15.2
2016-09-12 05:00:00,57.4,41.3,129.4,19.1,14.6
2016-09-12 06:00:00,145.1,62.3,284.8,30.2,20.0
2016-09-12 07:00:00,137.4,68.8,279.5,35.3,18.0
2016-09-12 08:00:00,88.0,56.3,191.2,28.3,15.9
2016-09-12 09:00:00,43.6,31.3,98.2,18.3,8.5
2016-09-12 10:00:00,35.0,30.7,84.3,14.8,6.8
2016-09-12 11:00:00,33.6,27.2,78.7,19.0,8.1
2016-09-12 12:00:00,26.6,27.1,67.8,13.2,6.4
2016-09-12 13:00:00,21.9,26.5,60.1,11.0,5.6
2016-09-12 14:00:00,33.7,34.4,86.0,12.7,7.5
2016-09-12 15:00:00,34.3,43.9,96.5,12.1,6.5
2016-09-12 16:00:00,43.6,53.9,120.7,13.5,8.9
2016-09-12 17:00:00,32.3,49.2,98.7,10.5,6.1
2016-09-12 18:00:00,34.0,66.6,118.7,18.8,11.2
2016-09-12 19:00:00,18.5,63.2,91.6,23.9,15.0
2016-09-12 20:00:00,7.5,56.8,68.3,17.7,13.8
2016-09-12 21:00:00,2.0,35.3,38.4,17.2,12.6
2016-09-12 22:00:00,1.7,30.5,33.1,13.2,7.1
2016-09-12 23:00:00,1.1,38.3,40.0,18.3,15.1
2016-09-13 00:00:00,1.3,29.6,31.6,23.0,20.3
2016-09-13 01:00:00,1.5,35.7,38.1,9.8,6.2
2016-09-13 02:00:00,1.5,33.9,36.1,18.5,14.2
2016-09-13 03:00:00,1.2,32.3,34.2,18.0,13.4
2016-09-13 04:00:00,4.0,37.8,44.0,21.4,17.2
2016-09-13 05:00:00,25.0,47.6,86.0,25.0,19.5
2016-09-13 06:00:00,24.7,46.4,84.2,31.3,21.0
2016-09-13 07:00:00,24.3,45.4,82.6,31.8,21.7
2016-09-13 08:00:00,12.4,40.6,59.6,30.1,11.8
2016-09-13 09:00:00,7.1,33.5,44.4,50.7,16.0
2016-09-13 10:00:00,5.9,31.7,40.8,29.4,12.7
2016-09-13 11:00:00,4.9,30.6,38.1,26.5,11.1
2016-09-13 12:00:00,4.4,31.7,38.5,24.9,9.7
2016-09-13 13:00:00,3.7,30.4,36.0,30.6,11.5
2016-09-13 14:00:00,4.0,44.3,50.4,36.4,13.9
2016-09-13 15:00:00,8.7,46.5,59.8,29.9,11.6
2016-09-13 16:00:00,10.5,56.6,72.8,27.1,13.5
2016-09-13 17:00:00,1.4,47.6,49.8,30.1,17.2
2016-09-13 18:00:00,4.7,61.9,69.1,29.1,16.5
2016-09-13 19:00:00,1.7,55.6,58.1,30.4,20.6
2016-09-13 20:00:00,0.8,42.8,44.0,35.1,24.5
2016-09-13 21:00:00,2.5,41.6,45.4,38.5,28.9
2016-09-13 22:00:00,4.4,47.4,54.2,47.9,41.1
2016-09-13 23:00:00,0.5,29.2,29.9,51.2,43.5
2016-09-14 00:00:00,1.6,27.3,29.8,37.3,30.9
2016-09-14 01:00:00,0.3,17.5,18.0,43.8,37.8
2016-09-14 02:00:00,0.2,14.9,15.2,32.4,24.8
2016-09-14 03:00:00,1.0,19.6,21.1,34.8,28.9
2016-09-14 04:00:00,6.7,32.8,43.0,33.3,26.1
2016-09-14 05:00:00,7.8,36.2,48.1,27.0,18.3
2016-09-14 06:00:00,7.0,47.3,58.1,23.5,12.6
